"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042788","GO:0042788","polysomal ribosome","22/1240","33/12806",2.81317413575795e-15,1.54980320569938e-13,1.41331714954347e-13,"Rpl8/Rpl19/Btf3/Eif3h/Rps29/Rpl10a/Rps21/Dhx9/Rpl18a/Rps23/Rpl36al/Rpl38/Rpl32/Rpl36/Rpl30/Rpl18/Rpl11/Rps28/Rpl36a/Rpl39/Rpl41/Rpl24",22
"GO:0000313","GO:0000313","organellar ribosome","36/1240","90/12806",1.89140585869741e-14,8.81686115669717e-13,8.0403892778635e-13,"Mrpl2/Mrpl52/Mrps25/Mrpl32/Mrps18c/Mrpl58/Mrps24/Mrpl57/Mrpl13/Mrps23/Mrpl14/Mrpl28/Mrpl27/Mrpl11/Mrpl20/Mrpl1/Malsu1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Mrps17/Mrps10/Mrpl54/Mrpl41/Mrpl12/Mrps6/Mrps35/Ndufa7/Mrps7/Mrps16/Chchd1/Aurkaip1",36
"GO:0005761","GO:0005761","mitochondrial ribosome","36/1240","90/12806",1.89140585869741e-14,8.81686115669717e-13,8.0403892778635e-13,"Mrpl2/Mrpl52/Mrps25/Mrpl32/Mrps18c/Mrpl58/Mrps24/Mrpl57/Mrpl13/Mrps23/Mrpl14/Mrpl28/Mrpl27/Mrpl11/Mrpl20/Mrpl1/Malsu1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Mrps17/Mrps10/Mrpl54/Mrpl41/Mrpl12/Mrps6/Mrps35/Ndufa7/Mrps7/Mrps16/Chchd1/Aurkaip1",36
"GO:0070469","GO:0070469","respirasome","33/1240","85/12806",6.3506507122991e-13,2.74892452260947e-11,2.50683580748649e-11,"Sdhd/Ndufa11/Ndufb2/Ndufa2/Cox6c/Cox7c/Uqcr11/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Cox7a2l/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa13/Higd1a/Ndufb10/Ndufa7/Uqcrq/Coa6/Uqcr10/Ndufs8/Uqcrh/Ndufb6/Uqcc3",33
"GO:0005844","GO:0005844","polysome","29/1240","69/12806",1.48638351013051e-12,6.00498938092725e-11,5.47614977416503e-11,"Rpl8/Rps25/Rpl19/Psma6/Btf3/Eif3h/Rps6/Rps3/Vbp1/Rps29/Rpl10a/Rps21/Dhx9/Rpl18a/Rps23/Rpl36al/Rpl38/Rpl32/Rpl36/Rpl30/Rpl18/Naa38/Rpl11/Rpl17/Rps28/Rpl36a/Rpl39/Rpl41/Rpl24",29
"GO:0098803","GO:0098803","respiratory chain complex","31/1240","79/12806",2.27837072086139e-12,8.62932910526252e-11,7.86937255560678e-11,"Sdhd/Ndufa11/Ndufb2/Ndufa2/Cox6c/Cox7c/Uqcr11/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa13/Ndufb10/Ndufa7/Uqcrq/Coa6/Uqcr10/Ndufs8/Uqcrh/Ndufb6/Uqcc3",31
"GO:0005746","GO:0005746","mitochondrial respirasome","31/1240","80/12806",3.37939775785618e-12,1.20465590662403e-10,1.09856583459721e-10,"Sdhd/Ndufa11/Ndufb2/Ndufa2/Cox6c/Cox7c/Uqcr11/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Cox7a2l/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa13/Ndufb10/Ndufa7/Uqcrq/Uqcr10/Ndufs8/Uqcrh/Ndufb6/Uqcc3",31
"GO:1990204","GO:1990204","oxidoreductase complex","33/1240","112/12806",3.00517844783784e-09,1.01174341077207e-07,9.22642505915126e-08,"Sdhd/Ndufa11/Ndufb2/Etfb/Cyba/Ndufa2/Noxo1/Uqcr11/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Gldc/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Cbr4/Ndufb7/Gcsh/Ndufa13/Noxa1/Ndufb10/Ndufa7/Uqcrq/Uqcr10/Ndufs8/Uqcrh/Duox2/Ndufb6/Uqcc3",33
"GO:0000315","GO:0000315","organellar large ribosomal subunit","22/1240","57/12806",5.15655733060012e-09,1.56243687117184e-07,1.42483820977109e-07,"Mrpl2/Mrpl52/Mrpl32/Mrpl58/Mrpl57/Mrpl13/Mrpl14/Mrpl28/Mrpl27/Mrpl11/Mrpl20/Mrpl1/Malsu1/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Mrpl54/Mrpl41/Mrpl12",22
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","22/1240","57/12806",5.15655733060012e-09,1.56243687117184e-07,1.42483820977109e-07,"Mrpl2/Mrpl52/Mrpl32/Mrpl58/Mrpl57/Mrpl13/Mrpl14/Mrpl28/Mrpl27/Mrpl11/Mrpl20/Mrpl1/Malsu1/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Mrpl54/Mrpl41/Mrpl12",22
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","19/1240","46/12806",1.53519228533369e-08,4.04489793440093e-07,3.68867711579033e-07,"Ndufa11/Ndufb2/Ndufa2/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Ndufb7/Ndufa13/Ndufb10/Ndufa7/Ndufs8/Ndufb6",19
"GO:0030964","GO:0030964","NADH dehydrogenase complex","19/1240","46/12806",1.53519228533369e-08,4.04489793440093e-07,3.68867711579033e-07,"Ndufa11/Ndufb2/Ndufa2/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Ndufb7/Ndufa13/Ndufb10/Ndufa7/Ndufs8/Ndufb6",19
"GO:0045271","GO:0045271","respiratory chain complex I","19/1240","46/12806",1.53519228533369e-08,4.04489793440093e-07,3.68867711579033e-07,"Ndufa11/Ndufb2/Ndufa2/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Dmac1/Ndufa4/Ndufc2/Ndufb7/Ndufa13/Ndufb10/Ndufa7/Ndufs8/Ndufb6",19
"GO:0005759","GO:0005759","mitochondrial matrix","57/1240","275/12806",2.08334461405737e-08,5.26044515049487e-07,4.79717509815843e-07,"Alkbh7/Mrpl2/Etfb/Casq1/Mrpl52/Mrps25/Mrpl32/Mrps18c/Mrpl58/Mrps24/Glrx5/Mrpl57/Mrpl13/Mrps23/Mrpl14/Hagh/Mrpl28/Uqcc2/Mrpl27/Mrpl11/Acot9/Fastkd2/Maip1/Dtymk/Dnajc19/Prdx1/Mrpl20/Grpel1/Mrpl1/Malsu1/Ssbp1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Rps3/Mrpl17/Cbr4/Gadd45gip1/Mrpl15/Mrps17/Mrps10/Mrpl54/Mrpl41/Mrpl12/Mrps6/Mrps35/Ndufa7/Mrps7/Tefm/Mrps16/Abat/Chchd1/Aurkaip1/Mthfs/Hspe1/Bloc1s1",57
"GO:0000314","GO:0000314","organellar small ribosomal subunit","13/1240","31/12806",2.40740066103957e-06,5.61109538688454e-05,5.11694472488168e-05,"Mrps25/Mrps18c/Mrps24/Mrps23/Mrps33/Mrps17/Mrps10/Mrps6/Mrps35/Mrps7/Mrps16/Chchd1/Aurkaip1",13
